,feature_names,feature_importance
0,price,0.16410506190954682
1,char_count,0.15894022950178077
2,avg_word_length,0.1051284548463371
3,winery,0.09638938852656144
4,avg_sentence_lenght,0.08495294063044215
5,winery_count,0.07654005927397108
6,vintage,0.06743398150837226
7,variety,0.06452275798630358
8,region_count,0.05429960052142341
9,sentence_count,0.03111353584138377
10,taster_count,0.028065539658897576
11,province,0.026884064449661925
12,province_count,0.025942267787768612
13,country,0.008474355368639743
14,country_count,0.0072077621889097875
